Simulation Log
==============
Time: 4.97s | Bodies: 1185 | Live Microbes: 0
Time: 4.99s | Bodies: 1185 | Live Microbes: 0
Time: 5.01s | Bodies: 1185 | Live Microbes: 0
Time: 5.02s | Bodies: 1185 | Live Microbes: 0
Time: 5.04s | Bodies: 1185 | Live Microbes: 0
Time: 5.06s | Bodies: 1185 | Live Microbes: 0
Time: 5.08s | Bodies: 1185 | Live Microbes: 0
Time: 5.09s | Bodies: 1185 | Live Microbes: 0
Time: 5.11s | Bodies: 1185 | Live Microbes: 0
Time: 5.13s | Bodies: 1185 | Live Microbes: 0
Time: 5.15s | Bodies: 1185 | Live Microbes: 0
Time: 5.17s | Bodies: 1185 | Live Microbes: 0
Time: 5.19s | Bodies: 1185 | Live Microbes: 0
Time: 5.21s | Bodies: 1185 | Live Microbes: 0
Time: 5.23s | Bodies: 1185 | Live Microbes: 0
Time: 5.25s | Bodies: 1185 | Live Microbes: 0
Time: 5.27s | Bodies: 1185 | Live Microbes: 0
Time: 5.28s | Bodies: 1185 | Live Microbes: 0
Time: 5.30s | Bodies: 1185 | Live Microbes: 0
Time: 5.32s | Bodies: 1185 | Live Microbes: 0
Time: 5.33s | Bodies: 1185 | Live Microbes: 0
Time: 5.35s | Bodies: 1185 | Live Microbes: 0
Time: 5.37s | Bodies: 1185 | Live Microbes: 0
Time: 5.39s | Bodies: 1185 | Live Microbes: 0
Time: 5.40s | Bodies: 1185 | Live Microbes: 0
Time: 5.42s | Bodies: 1185 | Live Microbes: 0
Time: 5.44s | Bodies: 1185 | Live Microbes: 0
Time: 5.46s | Bodies: 1185 | Live Microbes: 0
Time: 5.47s | Bodies: 1185 | Live Microbes: 0
Time: 5.49s | Bodies: 1185 | Live Microbes: 0
Time: 5.51s | Bodies: 1185 | Live Microbes: 0
Time: 5.53s | Bodies: 1185 | Live Microbes: 0
Time: 5.54s | Bodies: 1185 | Live Microbes: 0
Time: 5.56s | Bodies: 1185 | Live Microbes: 0
Time: 5.58s | Bodies: 1185 | Live Microbes: 0
Time: 5.60s | Bodies: 1185 | Live Microbes: 0
Time: 5.61s | Bodies: 1185 | Live Microbes: 0
Time: 5.63s | Bodies: 1185 | Live Microbes: 0
Time: 5.65s | Bodies: 1185 | Live Microbes: 0
Time: 5.67s | Bodies: 1185 | Live Microbes: 0
Time: 5.69s | Bodies: 1185 | Live Microbes: 0
Time: 5.71s | Bodies: 1185 | Live Microbes: 0
Time: 5.72s | Bodies: 1185 | Live Microbes: 0
Time: 5.74s | Bodies: 1185 | Live Microbes: 0
Time: 5.76s | Bodies: 1185 | Live Microbes: 0
Time: 5.78s | Bodies: 1185 | Live Microbes: 0
Time: 5.79s | Bodies: 1185 | Live Microbes: 0
Time: 5.81s | Bodies: 1185 | Live Microbes: 0
Time: 5.83s | Bodies: 1185 | Live Microbes: 0
Time: 5.85s | Bodies: 1185 | Live Microbes: 0
Time: 5.87s | Bodies: 1185 | Live Microbes: 0
Time: 5.88s | Bodies: 1185 | Live Microbes: 0
Time: 5.90s | Bodies: 1185 | Live Microbes: 0
Time: 5.92s | Bodies: 1185 | Live Microbes: 0
Time: 5.94s | Bodies: 1185 | Live Microbes: 0
Time: 5.95s | Bodies: 1185 | Live Microbes: 0
Time: 5.97s | Bodies: 1185 | Live Microbes: 0
Time: 5.99s | Bodies: 1185 | Live Microbes: 0
Time: 6.01s | Bodies: 1185 | Live Microbes: 0
Time: 6.03s | Bodies: 1185 | Live Microbes: 0
Time: 6.04s | Bodies: 1185 | Live Microbes: 0
Time: 6.06s | Bodies: 1185 | Live Microbes: 0
Time: 6.08s | Bodies: 1185 | Live Microbes: 0
Time: 6.10s | Bodies: 1185 | Live Microbes: 0
Time: 6.11s | Bodies: 1185 | Live Microbes: 0
Time: 6.13s | Bodies: 1185 | Live Microbes: 0
Time: 6.15s | Bodies: 1185 | Live Microbes: 0
Time: 6.17s | Bodies: 1185 | Live Microbes: 0
Time: 6.19s | Bodies: 1185 | Live Microbes: 0
Time: 6.20s | Bodies: 1185 | Live Microbes: 0
Time: 6.22s | Bodies: 1185 | Live Microbes: 0
Time: 6.24s | Bodies: 1185 | Live Microbes: 0
Time: 6.26s | Bodies: 1185 | Live Microbes: 0
Time: 6.28s | Bodies: 1185 | Live Microbes: 0
Time: 6.29s | Bodies: 1185 | Live Microbes: 0
Time: 6.31s | Bodies: 1185 | Live Microbes: 0
Time: 6.33s | Bodies: 1185 | Live Microbes: 0
Time: 6.44s | Bodies: 1185 | Live Microbes: 0
Time: 6.46s | Bodies: 1185 | Live Microbes: 0
Time: 6.48s | Bodies: 1185 | Live Microbes: 0
Time: 6.50s | Bodies: 1185 | Live Microbes: 0
Time: 6.52s | Bodies: 1185 | Live Microbes: 0
Time: 6.53s | Bodies: 1185 | Live Microbes: 0
Time: 6.55s | Bodies: 1185 | Live Microbes: 0
Time: 6.57s | Bodies: 1185 | Live Microbes: 0
Time: 6.59s | Bodies: 1185 | Live Microbes: 0
Time: 6.61s | Bodies: 1185 | Live Microbes: 0
Time: 6.62s | Bodies: 1185 | Live Microbes: 0
Time: 6.64s | Bodies: 1185 | Live Microbes: 0
Time: 6.66s | Bodies: 1185 | Live Microbes: 0
Time: 6.68s | Bodies: 1185 | Live Microbes: 0
Time: 6.70s | Bodies: 1185 | Live Microbes: 0
Time: 6.71s | Bodies: 1185 | Live Microbes: 0
Time: 6.73s | Bodies: 1185 | Live Microbes: 0
Time: 6.75s | Bodies: 1185 | Live Microbes: 0
Time: 6.77s | Bodies: 1185 | Live Microbes: 0
Time: 6.79s | Bodies: 1185 | Live Microbes: 0
Time: 6.80s | Bodies: 1185 | Live Microbes: 0
